index,corp_code,corp_name,corp_eng_name,stock_code,modify_date
78918,00397058,엠게임,MGAME CORP.,058630,
78947,00989619,알테오젠,Alteogen Inc.,196170,
78974,01119651,엘리비젼,"Elivision Co., Ltd.",276240,
78975,00866062,엘티씨,"LTC CO.,LTD.",170920,
79009,00305297,코텍,KORTEK CORPORATION,052330,
79014,00413523,한미글로벌,"HanmiGlobal Co., Ltd.",053690,
79082,00185222,크린앤사이언스,"Clean & Science Co., Ltd",045520,
79083,01115044,안지오랩,"AngioLab, Inc.",251280,
79084,00142883,우신시스템,"WOOSHIN SYSTEMS CO.,LTD",017370,
79088,00268118,코맥스,"COMMAX Co., Ltd.",036690,
79119,01188749,지앤이헬스케어,"G&E Healthcare Co., Ltd.",299480,
79124,00161781,아난티,Ananti Inc.,025980,
79139,00632845,노랑풍선,"Yellow Balloon Tour Co., Ltd.",104620,
79140,00612188,에스티오,"STO Co., Ltd.",098660,
79191,00980122,JB금융지주,"JB FINANCIAL GROUP CO.,LTD",175330,
79319,01505186,하이딥,HiDeep Inc.,365590,
79320,00137012,에스앤더블류,S&W Corporation,103230,
79321,00273110,에스티큐브,STCUBE,052020,
79322,00118275,디아이,DI CORPORATION,003160,
79323,00235183,에이치케이,"HK CO., LTD.",044780,
79324,00807397,코이즈,"KOYJ. CO.,LTD",121850,
79382,00115384,동방아그로,DONGBANG AGRO CORP,007590,
79386,00352718,소리바다,SORIBADA INC.,053110,
79425,00133876,세보엠이씨,SEBO MANUFACTURING ENGINEERING CORPORATION,011560,
79491,00668600,케이옥션,K Auction Inc.,102370,
79502,00404701,한국자산신탁,"KOREA ASSET IN TRUST Co., Ltd",123890,
79503,00500254,GS,GS Holdings,078930,
79504,00113359,교보증권,"KYOBO SECURITIES CO.,LTD.",030610,
79556,00347062,현대바이오랜드,"HYUNDAI BIOLAND Co.,Ltd.",052260,
79559,00264732,파인디지털,FINEDIGITAL Inc.,038950,
79560,00352499,링네트,"RingNet Co., Ltd.",042500,
79601,00879020,유니트론텍,"Unitrontech Co., Ltd.",142210,
79638,00295547,디지아이,Digital Graphics Incorporation,043360,
79640,00186717,태양,TAEYANG Corporation,053620,
79642,00177816,대주전자재료,"DaejooElectronicMaterialsCo.,Ltd.",078600,
79643,00351807,대원미디어,"DAEWON MEDIA CO.,LTD.",048910,
79698,00148461,제일연마,"CHEIL GRINDING WHEEL IND CO.,LTD",001560,
79699,00669450,바이오프로테크,BIO PROTECH INC.,199290,
79710,00147082,재영솔루텍,"JAEYOUNG SOLUTEC CO.,LTD.",049630,
79819,00298377,아이씨디,"ICD Co.,Ltd",040910,
79841,00963976,SG,"SG CO., LTD.",255220,
79845,01326224,원바이오젠,"Wonbiogen Co.,Ltd.",307280,
